3/10/2026, deposit, 125000.00
3/11/2026, withdrawal, 500.00
3/12/2026, deposit, 13600.00
3/13/2026, withdrawal, 30.00
3/14/2026, deposit, 8439.32
3/15/2026, withdrawal, 10.00
3/16/2026, deposit, 78.00
3/17/2026, withdrawal, 9000.00
3/18/2026, deposit, 340.00
3/19/2026, withdrawal, 45.00
3/20/2026, deposit, 6180.00
3/21/2026, withdrawal, 15.00
3/22/2026, deposit, 60.00
3/23/2026, withdrawal, 35.00
3/24/2026, deposit, 95.00
3/25/2026, withdrawal, 20.00
3/26/2026, deposit, 110.00
3/27/2026, withdrawal, 55.00
3/28/2026, deposit, 70.00
3/29/2026, withdrawal, 40.00
3/30/2026, deposit, 80.00
3/31/2026, withdrawal, 25.00
4/1/2026, deposit, 90.00
4/2/2026, withdrawal, 30.00
4/3/2026, deposit, 105.00
4/4/2026, withdrawal, 50.00
4/5/2026, deposit, 65.00
